id,tax_head_code,tax_head_desc,tax_head_amount,currency,is_active,cr_by,cr_dtimes
1,CI001,Change Of Information-New ID Required,200000,UGX,TRUE,moonsglw,now()
2,CEID01,Correction of Errors-New ID Required,200000,UGX,TRUE,moonsglw,now()
3,RLID01,Replacement of a Lost ID,50000,UGX,TRUE,moonsglw,now()
4,RDID01,Replacement of a Defaced or Damaged ID,200000,UGX,TRUE,moonsglw,now()
5,IAID01,Issuance of an Alien ID,100,USD,TRUE,moonsglw,now()
6,RID004,Renewal of ID,100,USD,TRUE,moonsglw,now()
7,LID001,Replacement of a Lost ID,100,USD,TRUE,moonsglw,now()
8,RDID003,Replacement of Defaced or Damaged ID,100,USD,TRUE,moonsglw,now()
9,RECO090,Access - Gov - 0 - 9 Records,10000,UGX,TRUE,moonsglw,now()
10,RECO010,Access - Gov - Above 10 Records,500,UGX,TRUE,moonsglw,now()
11,TAIL010,Access - Gov - Tailored,350000,UGX,TRUE,moonsglw,now()
12,RECO0090,Access - Private - 0 - 9 Records,20000,UGX,TRUE,moonsglw,now()
13,RECORD100,Access - Private - Above 10 Records,500,UGX,TRUE,moonsglw,now()
14,TAIL012,Access - Private - Tailored,350000,UGX,TRUE,moonsglw,now()
15,VRECORD113,Verification - Gov - 0 - 9 Records,20000,UGX,TRUE,moonsglw,now()
16,VRECORD114,Verification - Gov - Above 10 Records,100,UGX,TRUE,moonsglw,now()
17,VRECORD111,Verification - Private - 0 - 9 Records,20000,UGX,TRUE,moonsglw,now()
18,VRECORD112,Verification - Private - Above 10 Records,100,UGX,TRUE,moonsglw,now()
19,AUI09,Foreigners - Access - 0 - 9 Records,10,USD,TRUE,moonsglw,now()
20,AUI5M,Foreigners - Access - 1 - 5M,12,USD,TRUE,moonsglw,now()
21,AUI10M,Foreigners - Access - 5M - 10M,10,USD,TRUE,moonsglw,now()
22,AUI15M,Foreigners - Access - 10M - 15M,8,USD,TRUE,moonsglw,now()
23,AOI20M,Foreigners - Access - 15M - 20M,6,USD,TRUE,moonsglw,now()
24,AUI25M,Foreigners - Access - 20M - 25M,5,USD,TRUE,moonsglw,now()
25,AUI30M,Foreigners - Access - 25M - 30M,4,USD,TRUE,moonsglw,now()
26,AUI35M,Foreigners - Access - 30M - 35M,3,USD,TRUE,moonsglw,now()
27,AUIE35M,Foreigners - Access - Exceed 35M,2,USD,TRUE,moonsglw,now()
28,STAT011,Foreigners - Access - Tailored,200,USD,TRUE,moonsglw,now()
